,K,pc,s,mu,beta,u1eq,u2eq,bueq,r1eq,r2eq,Weq,URstable,NumInitials,C_s,difference,x_pos_invades,x_neg_invades
0,0.0,0.02275,0.0,-2.0,0.0,0.042593,0.042593,0.914813,1.0,1.0,1.06825,0.0,30,-0.050541508554353444,0.0,False,False
1,0.0,0.02275,0.0,-2.0,0.33,0.042321,0.042321,0.915358,0.986034,0.986034,1.067615,0.0,30,-0.050571569819820875,0.0,False,False
2,0.0,0.02275,0.0,-2.0,0.66,0.042052,0.042052,0.915896,0.972246,0.972246,1.066988,0.0,30,-0.05060128746826399,0.0,False,False
3,0.0,0.02275,0.0,-2.0,1.0,0.041778,0.041778,0.916444,0.958222,0.958222,1.066349,0.0,30,-0.050631609832417025,0.0,False,False
4,0.0,0.308538,0.0,-0.5,0.0,0.320456,0.320456,0.359087,1.0,1.0,1.925613,0.0,30,-0.18283285725859738,0.0,False,False
5,0.0,0.308538,0.0,-0.5,0.33,0.314284,0.314284,0.371432,0.896286,0.896286,1.861613,0.0,30,-0.18911842942883378,0.0,False,False
6,0.0,0.308538,0.0,-0.5,0.66,0.307948,0.307948,0.384104,0.796754,0.796754,1.800195,0.0,30,-0.19557066138073903,0.0,False,False
7,0.0,0.308538,0.0,-0.5,1.0,0.30127,0.30127,0.397459,0.69873,0.69873,1.739706,0.0,30,-0.20237058834326002,0.0,False,False
8,0.0,0.5,0.0,0.0,0.0,0.4,0.4,0.2,1.0,1.0,2.5,0.0,30,-0.1595769121605731,0.0,False,False
9,0.0,0.5,0.0,0.0,0.33,0.394506,0.394506,0.210987,0.869813,0.869813,2.369813,0.0,30,-0.1683433589069824,0.0,False,False
10,0.0,0.5,0.0,0.0,0.66,0.388569,0.388569,0.222862,0.743544,0.743544,2.243544,0.0,30,-0.17781789900328798,0.0,False,False
11,0.0,0.5,0.0,0.0,1.0,0.381966,0.381966,0.236068,0.618034,0.618034,2.118034,0.0,30,-0.18835499354657795,0.0,False,False
12,0.0,0.691462,0.0,0.5,0.0,0.449821,0.449821,0.100357,1.0,1.0,3.074387,0.0,30,-0.11451561783350615,0.0,False,False
13,0.0,0.691462,0.0,0.5,0.33,0.446261,0.446261,0.107477,0.852734,0.852734,2.870729,0.0,30,-0.12263969422550841,0.0,False,False
14,0.0,0.691462,0.0,0.5,0.66,0.442238,0.442238,0.115525,0.708123,0.708123,2.670744,0.0,30,-0.13182294026095334,0.0,False,False
15,0.0,0.691462,0.0,0.5,1.0,0.437526,0.437526,0.124948,0.562474,0.562474,2.469322,0.0,30,-0.14257570570557407,0.0,False,False
16,0.0,0.97725,0.0,2.0,0.0,0.497107,0.497107,0.005786,1.0,1.0,3.93175,0.0,30,-0.013732044639966443,0.0,False,False
