,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable
0,-2.0,0.0,0.0227501319481792,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
1,-2.0,0.0,0.0227501319481792,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
2,-2.0,0.0,0.0227501319481792,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
3,-2.0,0.0,0.0227501319481792,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
4,-2.0,0.0,0.0227501319481792,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
5,-2.0,0.0,0.0227501319481792,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
6,-2.0,0.0,0.0227501319481792,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
7,-2.0,0.0,0.0227501319481792,0.0,0.0,0.48,0.4,0.12,0.85,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
8,-2.0,0.0,0.0227501319481792,0.0,0.0,0.48,0.4,0.12,0.2,0.89,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
9,-2.0,0.0,0.0227501319481792,0.0,0.0,0.48,0.4,0.12,0.9,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
10,-2.0,0.0,0.0227501319481792,0.0,0.0,0.08,0.9,0.02,0.05,0.1,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
11,-2.0,0.0,0.0227501319481792,0.0,0.0,0.08,0.9,0.02,0.5,0.3,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
12,-2.0,0.0,0.0227501319481792,0.0,0.0,0.08,0.9,0.02,0.85,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
13,-2.0,0.0,0.0227501319481792,0.0,0.0,0.08,0.9,0.02,0.2,0.89,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
14,-2.0,0.0,0.0227501319481792,0.0,0.0,0.08,0.9,0.02,0.9,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
15,-2.0,0.0,0.0227501319481792,0.0,0.0,0.1,0.05,0.85,0.1,0.05,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
16,-2.0,0.0,0.0227501319481792,0.0,0.0,0.1,0.05,0.85,0.3,0.5,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
17,-2.0,0.0,0.0227501319481792,0.0,0.0,0.1,0.05,0.85,0.9,0.85,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
18,-2.0,0.0,0.0227501319481792,0.0,0.0,0.1,0.05,0.85,0.89,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
19,-2.0,0.0,0.0227501319481792,0.0,0.0,0.1,0.05,0.85,0.2,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
20,-2.0,0.0,0.0227501319481792,0.0,0.0,0.4,0.48,0.12,0.1,0.05,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
21,-2.0,0.0,0.0227501319481792,0.0,0.0,0.4,0.48,0.12,0.3,0.5,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
22,-2.0,0.0,0.0227501319481792,0.0,0.0,0.4,0.48,0.12,0.9,0.85,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
23,-2.0,0.0,0.0227501319481792,0.0,0.0,0.4,0.48,0.12,0.89,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
24,-2.0,0.0,0.0227501319481792,0.0,0.0,0.4,0.48,0.12,0.2,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
25,-2.0,0.0,0.0227501319481792,0.0,0.0,0.9,0.08,0.02,0.1,0.05,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
26,-2.0,0.0,0.0227501319481792,0.0,0.0,0.9,0.08,0.02,0.3,0.5,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
27,-2.0,0.0,0.0227501319481792,0.0,0.0,0.9,0.08,0.02,0.9,0.85,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
28,-2.0,0.0,0.0227501319481792,0.0,0.0,0.9,0.08,0.02,0.89,0.2,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
29,-2.0,0.0,0.0227501319481792,0.0,0.0,0.9,0.08,0.02,0.2,0.9,0.0425932572300961,0.0425932572300961,0.9148134855398078,1.0,1.0,1.0682503958445375,500000,True,0.0
30,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.05,0.1,0.85,0.05,0.1,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
31,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.05,0.1,0.85,0.5,0.3,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
32,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.05,0.1,0.85,0.85,0.9,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
33,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.05,0.1,0.85,0.2,0.89,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
34,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.05,0.1,0.85,0.9,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
35,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.48,0.4,0.12,0.05,0.1,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
36,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.48,0.4,0.12,0.5,0.3,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
37,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.48,0.4,0.12,0.85,0.9,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
38,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.48,0.4,0.12,0.2,0.89,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
39,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.48,0.4,0.12,0.9,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
40,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.08,0.9,0.02,0.05,0.1,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
41,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.08,0.9,0.02,0.5,0.3,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
42,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.08,0.9,0.02,0.85,0.9,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
43,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.08,0.9,0.02,0.2,0.89,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
44,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.08,0.9,0.02,0.9,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
45,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.1,0.05,0.85,0.1,0.05,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
46,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.1,0.05,0.85,0.3,0.5,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
47,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.1,0.05,0.85,0.9,0.85,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
48,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.1,0.05,0.85,0.89,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
49,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.1,0.05,0.85,0.2,0.9,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
50,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.4,0.48,0.12,0.1,0.05,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
51,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.4,0.48,0.12,0.3,0.5,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
52,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.4,0.48,0.12,0.9,0.85,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
53,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.4,0.48,0.12,0.89,0.2,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
54,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.4,0.48,0.12,0.2,0.9,0.067656663763358,0.0676566637633581,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
55,-2.0,0.0605975359430819,0.0062096653257761,0.5,0.0,0.9,0.08,0.02,0.1,0.05,0.0676566637633581,0.067656663763358,0.8646866724732838,1.0,1.0,1.0792265319204104,500000,True,0.0
