,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable
0,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
1,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
2,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
3,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
4,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
5,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
6,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
7,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
8,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
9,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
10,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
11,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
12,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
13,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
14,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
15,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
16,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
17,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
18,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
19,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
20,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
21,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
22,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
23,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
24,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
25,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
26,-0.5,0.0,0.3085375387259869,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
27,0.0,0.0,0.5,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
28,0.5,0.0,0.6914624612740131,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
29,2.0,0.0,0.9772498680518208,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
30,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
31,-0.5,0.0,0.3085375387259869,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.3204564990214756,0.3204564990214756,0.35908700195704873,0.9999999999999999,0.9999999999999999,1.9256126161779608,500000,True,0.0
32,0.0,0.0,0.5,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.4,0.4,0.2,0.9999999999999999,0.9999999999999999,2.5,500000,True,0.0
33,0.5,0.0,0.6914624612740131,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.4498212976755036,0.4498212976755036,0.10035740464899284,0.9999999999999999,0.9999999999999999,3.0743873838220392,500000,True,0.0
34,2.0,0.0,0.9772498680518208,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.49710686917547664,0.49710686917547664,0.0057862616490466775,0.9999999999999999,0.9999999999999999,3.9317496041554625,500000,True,0.0
35,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.85,0.9,0.042593257230096146,0.042593257230096146,0.9148134855398078,0.9999999999999999,0.9999999999999999,1.0682503958445375,500000,True,0.0
